mu_r	b
0.0	9.0
20.0	12.0
40.0	18.0
60.0	16.0
80.0	17.0
100.0	15.0
120.0	19.0
140.0	19.0
160.0	20.0
180.0	18.0
200.0	20.0
220.0	11.0
240.0	17.0
260.0	13.0
280.0	16.0
300.0	13.0
320.0	19.0
340.0	25.0
360.0	16.0
380.0	19.0
400.0	28.0
420.0	25.0
440.0	29.0
460.0	27.0
480.0	15.0
500.0	27.0
520.0	27.0
540.0	20.0
560.0	29.0
580.0	30.0
600.0	29.0
620.0	31.0
640.0	29.0
660.0	32.0
680.0	30.0
700.0	28.0
720.0	43.0
740.0	32.0
760.0	30.0
780.0	31.0
800.0	30.0
820.0	33.0
840.0	45.0
860.0	49.0
880.0	32.0
900.0	30.0
920.0	33.0
940.0	44.0
960.0	32.0
980.0	44.0
1000.0	33.0
1020.0	31.0
1040.0	33.0
1060.0	51.0
1080.0	32.0
1100.0	45.0
1120.0	32.0
1140.0	35.0
1160.0	51.0
1180.0	33.0
1200.0	51.0
1220.0	33.0
1240.0	51.0
1260.0	46.0
1280.0	46.0
1300.0	34.0
1320.0	35.0
1340.0	34.0
1360.0	36.0
1380.0	52.0
1400.0	34.0
1420.0	47.0
1440.0	34.0
1460.0	22.0
1480.0	46.0
1500.0	53.0
1520.0	35.0
1540.0	47.0
1560.0	47.0
1580.0	36.0
1600.0	34.0
1620.0	34.0
1640.0	48.0
1660.0	39.0
1680.0	47.0
1700.0	35.0
1720.0	49.0
1740.0	47.0
1760.0	34.0
1780.0	48.0
1800.0	35.0
1820.0	38.0
1840.0	37.0
1860.0	49.0
1880.0	48.0
1900.0	47.0
1920.0	33.0
1940.0	37.0
1960.0	52.0
1980.0	33.0
2000.0	48.0
2020.0	33.0
2040.0	40.0
2060.0	37.0
2080.0	54.0
2100.0	49.0
2120.0	37.0
2140.0	36.0
2160.0	47.0
2180.0	48.0
2200.0	50.0
2220.0	36.0
2240.0	46.0
2260.0	47.0
2280.0	49.0
2300.0	35.0
2320.0	49.0
2340.0	50.0
2360.0	47.0
2380.0	48.0
2400.0	38.0
2420.0	49.0
2440.0	41.0
2460.0	48.0
2480.0	48.0
2500.0	48.0
2520.0	38.0
2540.0	51.0
2560.0	49.0
2580.0	46.0
2600.0	34.0
2620.0	48.0
2640.0	56.0
2660.0	49.0
2680.0	49.0
2700.0	49.0
2720.0	46.0
2740.0	49.0
2760.0	55.0
2780.0	38.0
2800.0	49.0
2820.0	49.0
2840.0	40.0
2860.0	39.0
2880.0	55.0
2900.0	48.0
2920.0	51.0
2940.0	42.0
2960.0	50.0
2980.0	49.0
3000.0	49.0
3020.0	52.0
3040.0	57.0
3060.0	48.0
3080.0	39.0
3100.0	50.0
3120.0	40.0
3140.0	38.0
3160.0	38.0
3180.0	52.0
3200.0	47.0
3220.0	49.0
3240.0	55.0
3260.0	57.0
3280.0	50.0
3300.0	48.0
3320.0	49.0
3340.0	36.0
3360.0	52.0
3380.0	55.0
3400.0	50.0
3420.0	42.0
3440.0	49.0
3460.0	39.0
3480.0	55.0
3500.0	50.0
3520.0	49.0
3540.0	52.0
3560.0	42.0
3580.0	50.0
3600.0	51.0
3620.0	50.0
3640.0	48.0
3660.0	50.0
3680.0	42.0
3700.0	55.0
3720.0	49.0
3740.0	49.0
3760.0	50.0
3780.0	49.0
3800.0	48.0
3820.0	49.0
3840.0	53.0
3860.0	49.0
3880.0	39.0
3900.0	50.0
3920.0	35.0
3940.0	51.0
3960.0	50.0
3980.0	51.0
4000.0	49.0
4020.0	49.0
4040.0	48.0
4060.0	49.0
4080.0	36.0
4100.0	53.0
4120.0	49.0
4140.0	50.0
4160.0	50.0
4180.0	37.0
4200.0	48.0
4220.0	51.0
4240.0	50.0
4260.0	49.0
4280.0	53.0
4300.0	50.0
4320.0	35.0
4340.0	52.0
4360.0	58.0
4380.0	50.0
4400.0	49.0
4420.0	50.0
4440.0	50.0
4460.0	51.0
4480.0	51.0
4500.0	38.0
4520.0	50.0
4540.0	40.0
4560.0	51.0
4580.0	56.0
4600.0	38.0
4620.0	50.0
4640.0	56.0
4660.0	50.0
4680.0	35.0
4700.0	50.0
4720.0	40.0
4740.0	50.0
4760.0	53.0
4780.0	51.0
4800.0	51.0
4820.0	41.0
4840.0	50.0
4860.0	39.0
4880.0	52.0
4900.0	38.0
4920.0	51.0
4940.0	52.0
4960.0	57.0
4980.0	35.0
5000.0	50.0
5020.0	51.0
