mu_r	b
4999.0	10.0
4999.01	10.0
4999.02	10.0
4999.030000000001	9.0
4999.040000000001	10.0
4999.050000000001	10.0
4999.060000000001	10.0
4999.0700000000015	9.0
4999.080000000002	10.0
4999.090000000002	10.0
4999.100000000002	10.0
4999.110000000002	10.0
4999.120000000003	10.0
4999.130000000003	10.0
4999.140000000003	10.0
4999.150000000003	10.0
4999.1600000000035	10.0
4999.170000000004	10.0
4999.180000000004	10.0
4999.190000000004	10.0
4999.200000000004	10.0
4999.210000000005	10.0
4999.220000000005	10.0
4999.230000000005	10.0
4999.240000000005	10.0
4999.2500000000055	10.0
4999.260000000006	10.0
4999.270000000006	10.0
4999.280000000006	10.0
4999.290000000006	10.0
4999.300000000007	10.0
4999.310000000007	10.0
4999.320000000007	10.0
4999.330000000007	10.0
4999.340000000007	10.0
4999.350000000008	10.0
4999.360000000008	10.0
4999.370000000008	10.0
4999.380000000008	10.0
4999.3900000000085	10.0
4999.400000000009	10.0
4999.410000000009	9.0
4999.420000000009	9.0
4999.430000000009	9.0
4999.44000000001	9.0
4999.45000000001	9.0
4999.46000000001	10.0
4999.47000000001	10.0
4999.4800000000105	10.0
4999.490000000011	10.0
4999.500000000011	9.0
4999.510000000011	10.0
4999.520000000011	10.0
4999.530000000012	10.0
4999.540000000012	10.0
4999.550000000012	10.0
4999.560000000012	10.0
4999.570000000012	10.0
4999.580000000013	10.0
4999.590000000013	10.0
4999.600000000013	10.0
4999.610000000013	10.0
4999.6200000000135	10.0
4999.630000000014	10.0
4999.640000000014	10.0
4999.650000000014	10.0
4999.660000000014	10.0
4999.670000000015	10.0
4999.680000000015	10.0
4999.690000000015	10.0
4999.700000000015	10.0
4999.7100000000155	10.0
4999.720000000016	10.0
4999.730000000016	10.0
4999.740000000016	10.0
4999.750000000016	9.0
4999.760000000017	10.0
4999.770000000017	10.0
4999.780000000017	10.0
4999.790000000017	10.0
4999.8000000000175	10.0
4999.810000000018	10.0
4999.820000000018	10.0
4999.830000000018	10.0
4999.840000000018	10.0
4999.850000000019	9.0
4999.860000000019	10.0
4999.870000000019	10.0
4999.880000000019	10.0
4999.890000000019	10.0
4999.90000000002	9.0
4999.91000000002	10.0
4999.92000000002	10.0
4999.93000000002	10.0
4999.9400000000205	10.0
4999.950000000021	10.0
4999.960000000021	10.0
4999.970000000021	10.0
4999.980000000021	10.0
4999.990000000022	10.0
mu_r	b
4999.0	10.0
4999.01	10.0
4999.02	10.0
4999.030000000001	10.0
4999.040000000001	9.0
4999.050000000001	10.0
4999.060000000001	10.0
4999.0700000000015	10.0
4999.080000000002	9.0
4999.090000000002	10.0
4999.100000000002	10.0
4999.110000000002	10.0
4999.120000000003	10.0
4999.130000000003	10.0
4999.140000000003	9.0
4999.150000000003	10.0
4999.1600000000035	10.0
4999.170000000004	10.0
4999.180000000004	10.0
4999.190000000004	10.0
4999.200000000004	10.0
4999.210000000005	10.0
4999.220000000005	10.0
4999.230000000005	9.0
4999.240000000005	10.0
4999.2500000000055	10.0
4999.260000000006	10.0
4999.270000000006	9.0
4999.280000000006	10.0
4999.290000000006	9.0
4999.300000000007	10.0
4999.310000000007	10.0
4999.320000000007	10.0
4999.330000000007	10.0
4999.340000000007	9.0
4999.350000000008	10.0
4999.360000000008	10.0
4999.370000000008	10.0
4999.380000000008	10.0
4999.3900000000085	10.0
4999.400000000009	10.0
4999.410000000009	10.0
4999.420000000009	10.0
4999.430000000009	10.0
4999.44000000001	10.0
4999.45000000001	10.0
4999.46000000001	10.0
4999.47000000001	9.0
4999.4800000000105	10.0
4999.490000000011	10.0
4999.500000000011	10.0
4999.510000000011	10.0
4999.520000000011	10.0
4999.530000000012	10.0
4999.540000000012	9.0
4999.550000000012	10.0
4999.560000000012	10.0
4999.570000000012	10.0
4999.580000000013	10.0
4999.590000000013	10.0
4999.600000000013	10.0
4999.610000000013	10.0
4999.6200000000135	9.0
4999.630000000014	10.0
4999.640000000014	10.0
4999.650000000014	10.0
4999.660000000014	10.0
4999.670000000015	10.0
4999.680000000015	10.0
4999.690000000015	9.0
4999.700000000015	10.0
4999.7100000000155	10.0
4999.720000000016	10.0
4999.730000000016	10.0
4999.740000000016	9.0
4999.750000000016	10.0
4999.760000000017	10.0
4999.770000000017	10.0
4999.780000000017	10.0
4999.790000000017	10.0
4999.8000000000175	10.0
4999.810000000018	10.0
4999.820000000018	10.0
4999.830000000018	10.0
4999.840000000018	10.0
4999.850000000019	10.0
4999.860000000019	10.0
4999.870000000019	10.0
4999.880000000019	9.0
4999.890000000019	10.0
4999.90000000002	10.0
4999.91000000002	9.0
4999.92000000002	9.0
4999.93000000002	9.0
4999.9400000000205	10.0
4999.950000000021	10.0
4999.960000000021	10.0
4999.970000000021	10.0
4999.980000000021	10.0
4999.990000000022	10.0
