mu_r	b
4020.0	42.0
4040.0	45.0
4060.0	45.0
4080.0	32.0
4100.0	45.0
4120.0	42.0
4140.0	42.0
4160.0	42.0
4180.0	44.0
4200.0	44.0
4220.0	44.0
4240.0	42.0
4260.0	45.0
4280.0	44.0
4300.0	44.0
4320.0	44.0
4340.0	44.0
4360.0	45.0
4380.0	44.0
4400.0	44.0
4420.0	44.0
4440.0	42.0
4460.0	42.0
4480.0	44.0
4500.0	44.0
4520.0	33.0
4540.0	44.0
4560.0	44.0
4580.0	42.0
4600.0	42.0
4620.0	44.0
4640.0	44.0
4660.0	44.0
4680.0	44.0
4700.0	44.0
4720.0	44.0
4740.0	44.0
4760.0	44.0
4780.0	44.0
4800.0	44.0
4820.0	44.0
4840.0	44.0
4860.0	44.0
4880.0	44.0
4900.0	44.0
4920.0	44.0
4940.0	44.0
4960.0	44.0
4980.0	44.0
5000.0	44.0
