mu_r	val
0.0	52.83041385323426
20.0	75.78490028759555
40.0	85.35113209277849
60.0	91.86978010526224
80.0	97.65988651382959
100.0	101.19487278737283
120.0	105.58712582896135
140.0	107.45888337790943
160.0	111.11577886155548
180.0	113.36777647585069
200.0	115.01200333786174
220.0	117.48147622692879
240.0	119.56204916846451
260.0	121.73755760779096
280.0	123.67011197615822
300.0	125.85234811687661
320.0	125.65538076991876
340.0	128.3012246513059
360.0	129.47994448981407
380.0	129.37755605578758
400.0	131.05026856740818
420.0	130.99747713860194
440.0	132.91091392600075
460.0	133.435909418446
480.0	133.1508223897484
500.0	135.46653760859743
