mu_r	b
0.0	9.0
20.0	10.0
40.0	10.0
60.0	10.0
80.0	9.0
100.0	10.0
120.0	10.0
140.0	10.0
160.0	10.0
180.0	10.0
200.0	10.0
220.0	10.0
240.0	10.0
260.0	10.0
280.0	9.0
300.0	9.0
320.0	9.0
340.0	9.0
360.0	9.0
380.0	10.0
400.0	9.0
420.0	10.0
440.0	9.0
460.0	9.0
480.0	10.0
500.0	11.0
520.0	10.0
540.0	10.0
560.0	10.0
580.0	10.0
600.0	10.0
620.0	11.0
640.0	10.0
660.0	10.0
680.0	10.0
700.0	10.0
720.0	10.0
740.0	9.0
760.0	9.0
780.0	9.0
800.0	10.0
820.0	9.0
840.0	9.0
860.0	9.0
880.0	10.0
900.0	10.0
920.0	10.0
940.0	9.0
960.0	10.0
980.0	9.0
1000.0	10.0
1020.0	9.0
1040.0	10.0
1060.0	9.0
1080.0	10.0
1100.0	9.0
1120.0	9.0
1140.0	10.0
1160.0	10.0
1180.0	10.0
1200.0	10.0
